executed_at,chain,platform,application,transaction_id,trade_uuid,type,amount,token_symbol,token_original_id,token_symbol_uuid,caaj_from,caaj_to,comment
2022-02-21 07:51:07,osmosis,osmosis,swap,980D25671A95C73D2FD0E063D02FF7F68F1B11D05F4E0BB86875CAC7CEAD9FFC,e950be46-5c36-4744-a883-25ac0d619726,lose,13.366306,umee,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,c6e75d14-e2e0-8d5e-72bb-5cee05a8820a,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,osmo1uhpsqy52rs5dkwfpua5qulc4rcaw7y857zha0skzp3yxnd0k9k6ss44rjs,
2022-02-21 07:51:07,osmosis,osmosis,swap,980D25671A95C73D2FD0E063D02FF7F68F1B11D05F4E0BB86875CAC7CEAD9FFC,e950be46-5c36-4744-a883-25ac0d619726,get,2.555442,ust,ibc/BE1BB42D4BE3C30D50B68D7C41DB4DFCE9678E8EF8C539F6E6A9345048894FCC,432374c6-5e69-eb86-10d9-8c49176aeb1b,osmo1uhpsqy52rs5dkwfpua5qulc4rcaw7y857zha0skzp3yxnd0k9k6ss44rjs,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,
2022-02-22 08:09:50,osmosis,osmosis,osmosis,7121035E670C7076D15B0B45EAD3CEB353504F3F3401F08E4F6888ECA17BD445,f26a496a-bbdd-4939-8f4a-01fc8725af73,receive,17.824949,umee,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,c6e75d14-e2e0-8d5e-72bb-5cee05a8820a,osmo1yl6hdjhmkf37639730gffanpzndzdpmhxy9ep3,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,
2022-02-22 08:09:56,osmosis,osmosis,swap,96F36F1E99736D2B1B891DCE76C7675B3AD62B04116187B4FE8D550A4CE55647,1116a3f6-2ccf-4858-823c-2a278e855dbb,lose,17.824949,umee,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,c6e75d14-e2e0-8d5e-72bb-5cee05a8820a,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,osmo1uhpsqy52rs5dkwfpua5qulc4rcaw7y857zha0skzp3yxnd0k9k6ss44rjs,
2022-02-22 08:09:56,osmosis,osmosis,swap,96F36F1E99736D2B1B891DCE76C7675B3AD62B04116187B4FE8D550A4CE55647,1116a3f6-2ccf-4858-823c-2a278e855dbb,get,2.777952,ust,ibc/BE1BB42D4BE3C30D50B68D7C41DB4DFCE9678E8EF8C539F6E6A9345048894FCC,432374c6-5e69-eb86-10d9-8c49176aeb1b,osmo1uhpsqy52rs5dkwfpua5qulc4rcaw7y857zha0skzp3yxnd0k9k6ss44rjs,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,
2022-02-24 02:34:43,osmosis,osmosis,osmosis,965F13CE5C9A67B34186BC986F3E9F9AE6B771F56BF8E864D9028902AE96E5F7,6c514dea-3ede-4ba9-9373-a43d806956e5,receive,30.599212,umee,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,c6e75d14-e2e0-8d5e-72bb-5cee05a8820a,osmo1yl6hdjhmkf37639730gffanpzndzdpmhxy9ep3,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,
2022-02-24 02:34:51,osmosis,osmosis,swap,9D657DD8CC014F09167A4F6129E73613BA95573A14A9409D38CE9C150117DC6F,c8636f9b-a2aa-43f1-ac36-29559747b504,lose,30.599212,umee,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,c6e75d14-e2e0-8d5e-72bb-5cee05a8820a,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,osmo1uhpsqy52rs5dkwfpua5qulc4rcaw7y857zha0skzp3yxnd0k9k6ss44rjs,
2022-02-24 02:34:51,osmosis,osmosis,swap,9D657DD8CC014F09167A4F6129E73613BA95573A14A9409D38CE9C150117DC6F,c8636f9b-a2aa-43f1-ac36-29559747b504,get,4.253022,ust,ibc/BE1BB42D4BE3C30D50B68D7C41DB4DFCE9678E8EF8C539F6E6A9345048894FCC,432374c6-5e69-eb86-10d9-8c49176aeb1b,osmo1uhpsqy52rs5dkwfpua5qulc4rcaw7y857zha0skzp3yxnd0k9k6ss44rjs,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,
2022-02-26 08:11:50,osmosis,osmosis,osmosis,21C076A22E8070F71DAA8949716B756A1F79061A361B6FB3AE5A97D21ADD9766,fd24f48d-bc81-41c6-b594-58a0f5781690,receive,38.139675,umee,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,c6e75d14-e2e0-8d5e-72bb-5cee05a8820a,osmo1yl6hdjhmkf37639730gffanpzndzdpmhxy9ep3,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,
2022-02-26 08:12:02,osmosis,osmosis,swap,2C23CA4D0DDF1E78A8A348CC2BD25C43EDDEBD09563DA46282352FABB2FCF135,322e9ae0-9ef3-4653-8014-ed2ce7730022,lose,38.139675,umee,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,c6e75d14-e2e0-8d5e-72bb-5cee05a8820a,osmo175na5rxm3y7e2ejhnxfasgwf68q2uz9cdfavj6,osmo1uhpsqy52rs5dkwfpua5qulc4rcaw7y857zha0skzp3yxnd0k9k6ss44rjs,
